Price,Status,Area,Rate Per Sqft,Property Type,Locality,Builder Name,Rera Approval,Bhk_Count,Society,Company Name,Flat Type
2314000,Under Construction,643,3600,3 BHK Apartment in GLS Arawali Homes 2,Sector 4 Sohna,IREC Realty Services,Approved,3,GLS Arawali Homes 2,GLS,Apartment
2322000,Under Construction,645,3600,3 BHK Apartment in GLS Arawali Homes 2,Sector 4 Sohna,IREC Realty Services,Approved,3,GLS Arawali Homes 2,GLS,Apartment
2436000,Under Construction,598,4075,2 BHK Apartment in Signature Global The Millennia 3,Sector 37D,home,Approved,2,Signature Global The Millennia 3,Signature,Apartment
2363000,Under Construction,581,4075,2 BHK Apartment in Signature Global The Millennia 3,Sector 37D,Property In Gurgaon,Approved,2,Signature Global The Millennia 3,Signature,Apartment
2397000,Under Construction,589,4069,2 BHK Apartment in Signature Global The Millennia 3,Sector 37D,properties for sale in Gurgaon,Approved,2,Signature Global The Millennia 3,Signature,Apartment
2004000,Ready to move,501,4000,2 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,2,Pyramid Urban Homes II,Pyramid,Apartment
2012000,Ready to move,503,4000,2 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,2,Pyramid Urban Homes II,Pyramid,Apartment
1340000,Ready to move,335,4000,1 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,1,Pyramid Urban Homes II,Pyramid,Apartment
1388000,Ready to move,347,4000,1 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,1,Pyramid Urban Homes II,Pyramid,Apartment
2160000,Ready to move,540,4000,2 BHK Apartment in ROF Aalayas,Sector 102,Homes Gateway Pvt Ltd,Not Approved,2,ROF Aalayas,ROF,Apartment
1360000,Ready to move,340,4000,1 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,1,Pyramid Urban Homes II,Pyramid,Apartment
2064000,Ready to move,516,4000,2 BHK Apartment in Pyramid Urban Homes II,Sector 86,Homes Gateway Pvt Ltd,Not Approved,2,Pyramid Urban Homes II,Pyramid,Apartment
2216000,Under Construction,554,4000,2 BHK Apartment in Imperia Aashiyara,Sector 37C,Homes Gateway Pvt Ltd,Approved,2,Imperia Aashiyara,Imperia,Apartment
2300000,Under Construction,575,4000,2 BHK Apartment in Imperia Aashiyara,Sector 37C,Homes Gateway Pvt Ltd,Approved,2,Imperia Aashiyara,Imperia,Apartment
2600000,Ready to move,634,4100,2 BHK Apartment in Perfect Zara Aavaas,Sector 104,Homes Gateway Pvt Ltd,Not Approved,2,Perfect Zara Aavaas,Perfect,Apartment
5600000,Ready to move,750,7466,1 BHK Apartment in Ansal Celebrity Suites,Sector 2 Gurgaon,Homes Gateway Pvt Ltd,Not Approved,1,Ansal Celebrity Suites,Ansal,Apartment
9500000,Ready to move,2430,3909,3 BHK Independent Floor,Palam Vihar Block B,Homes Gateway Pvt Ltd,Not Approved,3,Outside Socity,Outside,Plot
41900000,New,6300,6666,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,Homes Gateway Pvt Ltd,Not Approved,0,Central Park Mikasa Plots,Central,Plot
14900000,New,1800,8333,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,jaglan,Not Approved,0,Central Park Mikasa Plots,Central,Plot
22400000,New,2700,8333,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,jaglan,Not Approved,0,Central Park Mikasa Plots,Central,Plot
21300000,New,2565,8333,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,Devinder Singh,Not Approved,0,Central Park Mikasa Plots,Central,Plot
59900000,New,9000,6666,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,Devinder Singh,Not Approved,0,Central Park Mikasa Plots,Central,Plot
18700000,New,2250,8333,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,home,Not Approved,0,Central Park Mikasa Plots,Central,Plot
26900000,New,4050,6666,Residential Plot in Central Park Mikasa Plots,Sector 33 Sohna,Property In Gurgaon,Not Approved,0,Central Park Mikasa Plots,Central,Plot
60000000,Resale,3240,18518,Residential Plot in south city 1 P Block,South City I,properties for sale in Gurgaon,Not Approved,1,south city 1 P Block,south,Plot
69000000,Resale,3240,21296,Residential Plot in south city 1 M Block,South City I,Devinder Singh,Not Approved,1,south city 1 M Block,south,Plot
82500000,Resale,4500,18333,Residential Plot in south city 1 K Block,South City I,Devinder Singh,Not Approved,1,south city 1 K Block,south,Plot
1800000,New,1080,1666,Residential Plot in Vaishnav Vatika,Badshahpur,Indo Scottish,Not Approved,0,Vaishnav Vatika,Vaishnav,Plot
75000000,Resale,4500,16666,Residential Plot in south city 1 D Block,South City I,Indo Scottish,Not Approved,1,south city 1 D Block,south,Plot
63000000,Resale,3240,19444,Residential Plot in south city 1 G Block,South City I,Indo Scottish,Not Approved,1,south city 1 G Block,south,Plot
55000000,Resale,3240,16975,Residential Plot in south city 1 C Block,South City I,NKV Developer,Not Approved,1,south city 1 C Block,south,Plot
47500000,Resale,2475,19191,Residential Plot in south city 1 M Block,South City I,Indo Scottish,Not Approved,1,south city 1 M Block,south,Plot
18700000,Ready to move,2340,8000,4 BHK Villa in SS Aaron Ville,Sector 48,Indo Scottish,Not Approved,4,SS Aaron Ville,SS,Villa
27200000,Ready to move,3411,8000,3 BHK Villa in SS Aaron Ville,Sector 48,Indo Scottish,Not Approved,3,SS Aaron Ville,SS,Villa
20000000,Ready to move,2500,8000,3 BHK Villa in SS Aaron Ville,Sector 48,Indo Scottish,Not Approved,3,SS Aaron Ville,SS,Villa
21200000,Ready to move,2650,8000,4 BHK Villa in SS Aaron Ville,Sector 48,Devinder Singh,Not Approved,4,SS Aaron Ville,SS,Villa
15400000,Ready to move,1935,8000,4 BHK Villa in SS Aaron Ville,Sector 48,Devinder Singh,Not Approved,4,SS Aaron Ville,SS,Villa
21300000,Ready to move,2673,8000,3 BHK Villa in SS Aaron Ville,Sector 48,Devinder Singh,Not Approved,3,SS Aaron Ville,SS,Villa
44000000,Ready to move,3900,11282,4 BHK Apartment in DLF Pinnacle,Sector 43,Devinder Singh,Not Approved,4,DLF P,DLF,Apartment
85900000,Ready to move,7100,12098,5 BHK Penthouse in DLF The Pinnacle,Sector 43,Devinder Singh,Not Approved,5,DLF The P,DLF,Penthouse
39900000,Ready to move,3500,11414,4 BHK Apartment in M3M Golf Estate,Sector 65,Devinder Singh,Not Approved,4,M3M Golf Estate,M3M,Apartment
31100000,Ready to move,3100,10032,4 BHK Apartment in M3M Merlin,Sector 67,Sharma Prop,Not Approved,4,M3M Merl,M3M,Apartment
32000000,Ready to move,3000,10666,4 BHK Apartment in M3M Latitude,Sector 65,home,Not Approved,4,M3M Latitude,M3M,Apartment
15400000,Under Construction,2188,7084,4 BHK Apartment in SS Linden,Sector 84,Property In Gurgaon,Approved,4,SS L,SS,Apartment
65000000,Under Construction,4160,15625,4 BHK Apartment in Suncity Platinum Towers,Sector 28,properties for sale in Gurgaon,Approved,4,Suncity Plat,Suncity,Apartment
70000000,Under Construction,4145,16887,4 BHK Apartment in Suncity Platinum Towers,Sector 28,Sharma Prop,Approved,4,Suncity Plat,Suncity,Apartment
58000000,Ready to move,8000,7250,5 BHK Penthouse in TDI Ourania,Sector 53,CONLIAS Real Estate Credence,Not Approved,5,TDI Ourania,TDI,Penthouse
30000000,Ready to move,3130,9584,4 BHK Apartment in Ireo Victory Valley,Sector 67,Sharma Prop,Not Approved,4,Ireo Victory Valley,Ireo,Apartment
27000000,Ready to move,2847,9483,4 BHK Apartment in Ireo Victory Valley,Sector 67,Sharma Prop,Not Approved,4,Ireo Victory Valley,Ireo,Apartment
31800000,Ready to move,2955,10788,4 BHK Apartment in M3M Latitude,Sector 65,Sharma Prop,Not Approved,4,M3M Latitude,M3M,Apartment
64500000,Ready to move,3931,16408,4 BHK Apartment in Central Park Belgravia Resort Residences 1,Sector 48,Sharma Prop,Not Approved,4,Central Park Belgravia Resort Residences 1,Central,Apartment
69500000,Ready to move,6600,10530,5 BHK Penthouse in Bestech Park View Spa,Sector 47,Sharma Prop,Not Approved,5,Bestech Park View Spa,Bestech,Penthouse
9900000,Ready to move,1750,5657,3 BHK Independent Floor in Sushant lok floorsss,Sushant Lok Phase 3,Sharma Prop,Not Approved,3,Sushant lok floorsss,Sushant,Floor
21500000,Ready to move,3115,6902,4 BHK Independent Floor in Unitech South City II,Sector 49,Sharma Prop,Not Approved,4,Unitech South City II,Unitech,Floor
100000000,Ready to move,9000,11111,5 BHK Penthouse in M3M Golf Estate,Sector 65,Sharma Prop,Not Approved,5,M3M Golf Estate,M3M,Penthouse
19900000,Under Construction,2599,7656,4 BHK Apartment in Godrej Air,Sector 85,Sharma Prop,Approved,4,Godrej Air,Godrej,Apartment
13000000,Under Construction,2050,6341,3 BHK Apartment in Emaar Palm Heights,Sector 77,Sharma Prop,Approved,3,Emaar Palm Heights,Emaar,Apartment
61000000,Ready to move,6105,9991,4 BHK Apartment in Tata Primanti,Sector 72,Sharma Prop,Not Approved,4,Tata Primanti,Tata,Apartment
14000000,Under Construction,1829,7654,3 BHK Apartment in Godrej Air,Sector 85,Varshakarshni,Approved,3,Godrej Air,Godrej,Apartment
11400000,Under Construction,1689,6749,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Varshakarshni,Approved,3,Hero Homes Gurgaon,Hero,Apartment
16600000,Ready to move,2350,7100,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Varshakarshni,Not Approved,3,AIPL The Peaceful Homes,AIPL,Apartment
15200000,Ready to move,2150,7100,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Varshakarshni,Not Approved,3,AIPL The Peaceful Homes,AIPL,Apartment
20700000,Ready to move,2925,7100,4 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,home,Not Approved,4,AIPL The Peaceful Homes,AIPL,Apartment
11100000,Ready to move,1565,7100,2 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Property In Gurgaon,Not Approved,2,AIPL The Peaceful Homes,AIPL,Apartment
17500000,Ready to move,2475,7100,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,properties for sale in Gurgaon,Not Approved,3,AIPL The Peaceful Homes,AIPL,Apartment
22000000,Under Construction,2503,8789,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Pinclick,Approved,3,Krisumi Waterfall Residences,Krisumi,Apartment
10700000,Under Construction,1478,7239,2 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Pinclick,Approved,2,Krisumi Waterfall Residences,Krisumi,Apartment
16500000,Under Construction,1955,8439,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Pinclick,Approved,3,Krisumi Waterfall Residences,Krisumi,Apartment
22800000,Under Construction,2535,8994,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Pinclick,Approved,3,Krisumi Waterfall Residences,Krisumi,Apartment
14900000,Ready to move,2338,6401,3 BHK Apartment in Experion The Heartsong,Sector 108,Pinclick,Not Approved,3,Experion The Heartsong,Experion,Apartment
11100000,Ready to move,1758,6336,3 BHK Apartment in Experion The Heartsong,Sector 108,Pinclick,Not Approved,3,Experion The Heartsong,Experion,Apartment
12500000,Ready to move,2003,6287,3 BHK Apartment in Experion The Heartsong,Sector 108,Pinclick,Not Approved,3,Experion The Heartsong,Experion,Apartment
17500000,Ready to move,2779,6327,4 BHK Apartment in Experion The Heartsong,Sector 108,SMC Real Estate Pvt Ltd,Not Approved,4,Experion The Heartsong,Experion,Apartment
8222000,Ready to move,1283,6408,2 BHK Apartment in Experion The Heartsong,Sector 108,SMC Real Estate Pvt Ltd,Not Approved,2,Experion The Heartsong,Experion,Apartment
24800000,New,2160,11500,Residential Plot in Vipul World Plots,Sector 48,SMC Real Estate Pvt Ltd,Not Approved,0,Vipul World Plots,Vipul,Plot
51700000,New,4500,11500,Residential Plot in Vipul World Plots,Sector 48,SMC Real Estate Pvt Ltd,Not Approved,0,Vipul World Plots,Vipul,Plot
37200000,New,3240,11500,Residential Plot in Vipul World Plots,Sector 48,SMC Real Estate Pvt Ltd,Not Approved,0,Vipul World Plots,Vipul,Plot
29800000,New,2592,11500,Residential Plot in Vipul World Plots,Sector 48,Ganpati Associate,Not Approved,0,Vipul World Plots,Vipul,Plot
19800000,New,1728,11500,Residential Plot in Vipul World Plots,Sector 48,Ganpati Associate,Not Approved,0,Vipul World Plots,Vipul,Plot
650000,New,900,722,Residential Plot,Sultanpur,Ganpati Associate,Not Approved,0,Outside Socity,Outside,Plot
325000,New,450,722,Residential Plot,Sultanpur,Ganpati Associate,Not Approved,0,Outside Socity,Outside,Plot
27200000,New,4455,6111,Residential Plot in BPTP Amstoria Lutyens Plots,Sector 102,Ganpati Associate,Not Approved,0,BPTP Amstoria Lutyens Plots,BPTP,Plot
28000000,New,4590,6111,Residential Plot in BPTP Amstoria Lutyens Plots,Sector 102,home,Not Approved,0,BPTP Amstoria Lutyens Plots,BPTP,Plot
13700000,New,2250,6111,Residential Plot in BPTP Amstoria Lutyens Plots,Sector 102,Property In Gurgaon,Not Approved,0,BPTP Amstoria Lutyens Plots,BPTP,Plot
16600000,New,2727,6111,Residential Plot in BPTP Amstoria Lutyens Plots,Sector 102,properties for sale in Gurgaon,Not Approved,0,BPTP Amstoria Lutyens Plots,BPTP,Plot
12300000,New,2025,6111,Residential Plot in BPTP Amstoria Lutyens Plots,Sector 102,IREC Realty Services,Not Approved,0,BPTP Amstoria Lutyens Plots,BPTP,Plot
13700000,Resale,1557,8798,Residential Plot,Palam Vihar Block B,IREC Realty Services,Not Approved,0,Outside Socity,Outside,Plot
14000000,Resale,1557,8991,Residential Plot,Palam Vihar Pocket H,IREC Realty Services,Not Approved,0,Outside Socity,Outside,Plot
3200000,Under Construction,779,4107,3 BHK Apartment in Rajvik Sector79,Sector 79,IREC Realty Services,Not Approved,3,Rajvik Sector79,Rajvik,Apartment
3400000,Ready to move,759,4479,2 BHK Apartment in Pivotal Devaan,Sector 84,jaglan,Not Approved,2,Pivotal Devaan,Pivotal,Apartment
16500000,Ready to move,1440,11458,3 BHK Independent Floor,Sector 7,jaglan,Not Approved,3,Outside Socity,Outside,Plot
8600000,Ready to move,1095,7853,2 BHK Apartment in Unitech the residences,Sector 33,Kunal Tanwar,Not Approved,2,Unitech the residences,Unitech,Apartment
2200000,Ready to move,750,2933,2 BHK Apartment in MVN Athens,Sector 5 Sohna,kumar,Not Approved,2,MVN Athens,MVN,Apartment
10000000,Ready to move,1390,7194,3 BHK Apartment in BPTP Astaire Garden Floors,Sector 70A,Govind Dhall,Not Approved,3,BPTP Astaire Garden Floors,BPTP,Apartment
3000000,Ready to move,500,6000,2 BHK Apartment in Conscient Habitat,Sector 99A,Nidhi Sharma,Not Approved,2,Conscient Habitat,Conscient,Apartment
3000000,Ready to move,500,6000,2 BHK Apartment in Conscient Habitat,Sector 99A,Sachi,Not Approved,2,Conscient Habitat,Conscient,Apartment
3000000,Ready to move,500,6000,2 BHK Apartment in Conscient Habitat,Sector 99A,Saloni Singh,Not Approved,2,Conscient Habitat,Conscient,Apartment
3500000,Ready to move,630,5555,2 BHK Apartment,Ashok Vihar Phase II,Sonu Sheoran,Not Approved,2,Outside Socity,Outside,Plot
14000000,Under Construction,1150,12173,3 BHK Independent House,Sector 48,user8355,Not Approved,3,Outside Socity,Outside,Plot
4000000,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,user8355,Not Approved,2,Signature Global Park III,Signature,Floor
4000000,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,home,Not Approved,2,Signature Global Park III,Signature,Floor
4000000,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,Property In Gurgaon,Not Approved,2,Signature Global Park III,Signature,Floor
4000000,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,properties for sale in Gurgaon,Not Approved,2,Signature Global Park III,Signature,Floor
4000000,Ready to move,1000,4000,2 BHK Independent Floor in Signature Global Park III,Sector 36 Sohna,seller,Not Approved,2,Signature Global Park III,Signature,Floor
17000000,Under Construction,1579,10766,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,seller,Approved,3,TATA Hous,TATA,Apartment
6200000,Ready to move,1565,3961,3 BHK Apartment in Ansal Heights,Sector 92,seller,Not Approved,3,Ansal Heights,Ansal,Apartment
28000000,Ready to move,2700,10370,7 BHK Independent House,Sector 4,seller,Not Approved,7,Outside Socity,Outside,Plot
45500000,Ready to move,6300,7222,8 BHK Independent House,Sector 14,user3895,Not Approved,8,Outside Socity,Outside,Plot
45500000,Ready to move,6300,7222,8 BHK Independent House,Sector 14,user3301,Not Approved,8,Outside Socity,Outside,Plot
45500000,Ready to move,6300,7222,8 BHK Independent House,Sector 14,Manish Kumar,Not Approved,8,Outside Socity,Outside,Plot
45500000,Ready to move,6300,7222,8 BHK Independent House,Sector 14,Bhushan,Not Approved,8,Outside Socity,Outside,Plot
11500000,Ready to move,2550,4509,3 BHK Apartment in BPTP Astaire Garden Floors,Sector 70A,Bhushan,Not Approved,3,BPTP Astaire Garden Floors,BPTP,Apartment
57500000,Under Construction,4500,12777,4 BHK Independent Floor,DLF City Phase 1,Bhushan,Not Approved,4,Outside Socity,Outside,Plot
700000,Ready to move,248,2822,1 BHK Apartment in Ramprastha Rise,Sector 37D,user,Not Approved,1,Ramprastha Rise,Ramprastha,Apartment
4000000,Ready to move,1234,3241,1 BHK Apartment in Emaar Emerald Classic,Sector 65,user,Not Approved,1,Emaar Emerald Classic,Emaar,Apartment
8940000,Under Construction,1704,5246,3 BHK Apartment in Tulip Yellow,Sector 69,Anurag Grover,Approved,3,Tulip Yellow,Tulip,Apartment
13200000,Ready to move,2250,5866,3 BHK Independent Floor in Ansal Sushant Lok 1,Sector 43,Raju Deen,Not Approved,3,Ansal Sushant Lok 1,Ansal,Floor
12000000,Under Construction,1640,7317,3 BHK Apartment in Godrej Serenity Sohna,Sector 33 Sohna,seller,Approved,3,Godrej Serenity Sohna,Godrej,Apartment
11500000,Ready to move,2122,5419,3 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,home,Not Approved,3,Eldeco Accolade,Eldeco,Apartment
14000000,Under Construction,1150,12173,3 BHK Independent House,Sector 48,Property In Gurgaon,Not Approved,3,Outside Socity,Outside,Plot
14000000,Under Construction,1150,12173,3 BHK Independent House,Sector 48,properties for sale in Gurgaon,Not Approved,3,Outside Socity,Outside,Plot
14000000,Under Construction,1150,12173,3 BHK Independent House,Sector 48,Manish Malik,Not Approved,3,Outside Socity,Outside,Plot
14000000,Under Construction,1150,12173,3 BHK Independent House,Sector 48,user2582,Not Approved,3,Outside Socity,Outside,Plot
2800000,Ready to move,462,6060,1 BHK Apartment in Lotus Homz,Sector 111,user2582,Not Approved,1,Lotus Homz,Lotus,Apartment
8000000,Ready to move,1565,5111,3 BHK Apartment in Ansal Heights,Sector 92,user2582,Not Approved,3,Ansal Heights,Ansal,Apartment
8000000,Ready to move,763,10484,2 BHK Independent Floor,Sector 69,user2582,Not Approved,2,Outside Socity,Outside,Plot
2600000,Ready to move,550,4727,1 BHK Apartment in Signature Global Andour Heights,Sector 71,Shivanya,Not Approved,1,Signature Global Andour Heights,Signature,Apartment
8900000,Ready to move,2954,3012,7 BHK Independent House,New Palam Vihar Phase 3,Arya,Not Approved,7,Outside Socity,Outside,Plot
8100000,Ready to move,1953,4147,3 BHK Apartment in Raheja Atharva,Sector 109,user2904,Not Approved,3,Raheja Atharva,Raheja,Apartment
3600000,Ready to move,1080,3333,3 BHK Independent House,Bahora Kalan,seller,Not Approved,3,Outside Socity,Outside,Plot
