Price,Status,Area,Rate Per Sqft,Property Type,Locality,Builder Name,Rera Approval,Bhk_Count,Society,Company Name,Flat Type
10700000,Under Construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,Approved,2,M3M Antalya Hills Phase I,M3M,Apartment
14400000,Under Construction,1528,9450,3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Property In Gurgaon,Approved,3,M3M Antalya Hills Phase I,M3M,Apartment
10700000,Under Construction,1138,9450,2 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,properties for sale in Gurgaon,Approved,2,M3M Antalya Hills Phase I,M3M,Apartment
40000000,Ready to move,4500,8888,4 BHK Independent Floor,Sector 57,MM India Pvt Ltd,Not Approved,4,Outside Socity,Outside,Plot
24000000,Under Construction,1800,13333,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,MM India Pvt Ltd,Approved,3,Anant Raj Estate Plots,Anant,Floor
63800000,Ready to move,2282,28000,3 BHK Apartment in DLF Park Place,Sector 54,MM India Pvt Ltd,Not Approved,3,DLF Park Place,DLF,Apartment
4500000,Ready to move,920,4891,3 BHK Apartment,Sector 3A,seller,Not Approved,3,Outside Socity,Outside,Plot
4500000,Ready to move,1000,4500,2 BHK Apartment,Sector 69,seller,Not Approved,2,Outside Socity,Outside,Plot
9000000,Ready to move,1250,7200,3 BHK Independent Floor in BPTP Astaire Garden Plots,Sector 70A,seller,Not Approved,3,BPTP Astaire Garden Plots,BPTP,Floor
74900000,Under Construction,3800,19736,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
19700000,Under Construction,2390,8250,4 BHK Apartment in Navraj The Antalya,Sector 37D,seller,Approved,4,Navraj The Antalya,Navraj,Apartment
80100000,Under Construction,3956,20253,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
13700000,Under Construction,1450,9448,3 BHK Apartment in SS Cendana Residence,Sector 83,Superb Solution Providers Pvt Ltd,Approved,3,SS Cendana Residence,SS,Apartment
22000000,Ready to move,2450,8979,4 BHK Independent Floor,Sector 51,Sharma realtors solution,Not Approved,4,Outside Socity,Outside,Plot
15000000,Under Construction,1205,12448,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,SM Realty,Approved,3,Signature Global City 81 Phase 2,Signature,Apartment
44000000,Under Construction,1677,26237,3 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Impex Estates India Private Limited,Approved,3,Adani Brahma Samsara Vilasa,Adani,Apartment
12000000,Ready to move,1430,8391,3 BHK Apartment in Mapsko Casa Bella,Sector 82,Bricksblenders,Not Approved,3,Mapsko Casa Bella,Mapsko,Apartment
52500000,Ready to move,2905,18072,4 BHK Apartment in Tata Primanti,Sector 72,Corvous India Infratech Pvt Ltd,Not Approved,4,Tata Primanti,Tata,Apartment
4600000,Ready to move,720,6388,1 BHK Apartment in Ameya Sapphire Eighty Three,Sector 83,Ayuni Direct Realty,Not Approved,1,Ameya Sapphire Eighty Three,Ameya,Apartment
30000000,Ready to move,2082,14409,3 BHK Apartment in Omaxe The Nile,Sector 49,Sagar,Not Approved,3,Omaxe The Nile,Omaxe,Apartment
9900000,Ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,home,Not Approved,2,M3M Woodshire,M3M,Apartment
45300000,Ready to move,3969,11413,4 BHK Independent Floor in Unitown Trehan Luxury Floor 63,Sector 63,Property In Gurgaon,Not Approved,4,Unitown Trehan Luxury Floor 63,Unitown,Floor
120000000,Ready to move,3500,34285,4 BHK Apartment in DLF The Belaire,Sector 54,properties for sale in Gurgaon,Not Approved,4,DLF The Belaire,DLF,Apartment
35500000,Ready to move,2450,14489,3 BHK Apartment in Puri Emerald Bay,Sector 104,Bhoomi Realtors,Not Approved,3,Puri Emerald Bay,Puri,Apartment
10500000,Ready to move,1000,10500,2 BHK Independent Floor in Signature Global City 92,Sector 92,Keshri Real Tech,Not Approved,2,Signature Global City 92,Signature,Floor
19000000,Ready to move,2365,8033,4 BHK Apartment in Pareena Express Heights,Sector 99A,ANGEL BRICKS,Not Approved,4,Pareena Express Heights,Pareena,Apartment
37000000,Ready to move,1975,18734,4 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,GK Realtors,Not Approved,4,Emaar Emerald Floors Premier,Emaar,Apartment
55000000,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Yoga reality,Approved,4,Godrej Aristocrat,Godrej,Apartment
55000000,Under Construction,1469,37465,4 BHK Apartment in Godrej Aristocrat,Sector 49,Gupta Realtors,Approved,4,Godrej Aristocrat,Godrej,Apartment
20000000,Ready to move,2000,10000,3 BHK Independent Floor,Sector 46,Homes solution,Not Approved,3,Outside Socity,Outside,Plot
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,ETHOS PRO REALTORS,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,The Assetree,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Bargainer Propmart,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
27000000,Ready to move,2650,10188,4 BHK Independent Floor in Emaar Emerald Floors Premier,Sector 65,Golden Frog Realty,Not Approved,4,Emaar Emerald Floors Premier,Emaar,Floor
5700000,Ready to move,632,9018,2 BHK Apartment in Signature Global Orchard Avenue,Sector 93,shree associate,Not Approved,2,Signature Global Orchard Avenue,Signature,Apartment
25000000,Ready to move,1950,12820,3 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Khatri properties solution,Not Approved,3,Raheja Sushant Lok 1 Floors,Raheja,Floor
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Urbankasa,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,PAARTH REALTY,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
12600000,Under Construction,1055,12000,2 BHK Apartment in Signature Global City 79 B,Sector 79,Mehta Real Estate,Approved,2,Signature Global City 79 B,Signature,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Empire Landbase,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
21100000,Ready to move,1046,20200,2 BHK Apartment in Godrej Air,Sector 85,home,Not Approved,2,Godrej Air,Godrej,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Property In Gurgaon,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,properties for sale in Gurgaon,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
45000000,Ready to move,3400,13235,4 BHK Independent Floor in Today Developer 6,DLF Phase 2,Akhilesh Sharma,Not Approved,4,Today Developer 6,Today,Floor
26800000,Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,SevenRealtys,Approved,3,Trehan Luxury Floors 71,Trehan,Apartment
37600000,Under Construction,1795,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Accurate Realty Venture Private Limited,Approved,3,M3M M3M Crown,M3M,Apartment
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Today Associates,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
48000000,Ready to move,2802,17130,3 BHK Apartment in Experion Windchants,Sector 112,Chirag khatri,Not Approved,3,Experion W,Experion,Apartment
12000000,Ready to move,1322,9077,2 BHK Apartment in Umang Winter Hills,Sector 77,Khushi Housing Solutions Pvt Ltd,Not Approved,2,Umang W,Umang,Apartment
14500000,Ready to move,1490,9731,2 BHK Apartment in Godrej 101,Sector 79,True blue Advisers,Not Approved,2,Godrej 101,Godrej,Apartment
41000000,Ready to move,2185,18764,3 BHK Apartment,Sector 72,Rising Realtors,Not Approved,3,Outside Socity,Outside,Plot
14900000,Ready to move,1822,8177,3 BHK Apartment in Umang Winter Hills,Sector 77,Get Home Fix,Not Approved,3,Umang W,Umang,Apartment
22500000,Under Construction,1829,12301,3 BHK Apartment in Godrej Air,Sector 85,Arihant dream homes,Approved,3,Godrej Air,Godrej,Apartment
45000000,Ready to move,3762,11961,4 BHK Independent Floor in Raheja Sushant Lok 1 Floors,Sector 43,Neer Me Consultant,Not Approved,4,Raheja Sushant Lok 1 Floors,Raheja,Floor
29000000,Under Construction,1855,15633,3 BHK Apartment in Godrej Meridien,Sector 106,Sansiddhi Homes,Approved,3,Godrej Meridien,Godrej,Apartment
28000000,Ready to move,2162,12950,4 BHK Apartment in Shapoorji Pallonji Joyville Phase 1,Sector 102,Gateway Realty,Not Approved,4,Shapoorji Pallonji Joyville Phase 1,Shapoorji,Apartment
27500000,Ready to move,2103,13076,3 BHK Apartment in DLF The Primus,Sector 82A,Neeraj Co,Not Approved,3,DLF The Primus,DLF,Apartment
34000000,Under Construction,1967,17300,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Gromax India,Approved,3,Krisumi Waterfall Residences,Krisumi,Apartment
6200000,Under Construction,765,8104,2 BHK Independent House,Sector 104,Sunrise Property Consultants,Not Approved,2,Outside Socity,Outside,Plot
28000000,Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,AG Luxury Abodes,Approved,3,M3M Golf Hills Phase 1,M3M,Apartment
27000000,Ready to move,4500,6000,4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,home,Not Approved,4,Reputed Builder Sushant Lok 3,Reputed,Floor
4900000,Ready to move,575,8521,2 BHK Apartment,Sector 93,Property In Gurgaon,Not Approved,2,Outside Socity,Outside,Plot
14500000,Under Construction,1751,8280,3 BHK Apartment in Eldeco Acclaim,Sector 2 Sohna,properties for sale in Gurgaon,Approved,3,Eldeco Acclaim,Eldeco,Apartment
18500000,Ready to move,1550,11935,2 BHK Apartment in Puri Emerald Bay,Sector 104,Paramount Associates,Not Approved,2,Puri Emerald Bay,Puri,Apartment
1970000,Under Construction,220,8954,1 RK Studio Apartment in DLF Magnolias,Sector 42,N S ASSOCIATES,Approved,1,DLF Magnolias,DLF,Apartment
17100000,Under Construction,921,18566,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,MAS Infra,Approved,1,Krisumi Waterfall Suites,Krisumi,Apartment
19300000,Ready to move,1840,10500,3 BHK Independent Floor in Ahuja Builders 4,Sector 23 Gurgaon,Mangalam infratech,Not Approved,3,Ahuja Builders 4,Ahuja,Floor
12500000,Under Construction,1454,8629,3 BHK Independent Floor in Landmark Avana 1st Phase,Sector 95,MAA KARNI PROPERTIES,Approved,3,Landmark Avana 1st Phase,Landmark,Floor
28500000,Ready to move,2010,14179,4 BHK Apartment in Tulip Violet,Sector 69,Surya Homes Developers,Not Approved,4,Tulip Violet,Tulip,Apartment
25000000,Ready to move,2660,9398,3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,SMART HOMZZ,Not Approved,3,Bestech Park View Grand Spa,Bestech,Apartment
22500000,Ready to move,2215,10158,4 BHK Apartment in DLF Regal Gardens,Sector 90,WADHWA REALTORS,Not Approved,4,DLF Regal Gardens,DLF,Apartment
25000000,Ready to move,2550,9803,3 BHK Independent Floor,Sector 57,Silverkeys realestate,Not Approved,3,Outside Socity,Outside,Plot
10500000,Under Construction,1550,6774,3 BHK Independent Floor in Signature Global Park 1,Sector 36 Sohna,Gravity Advisors Pvt Ltd,Approved,3,Signature Global Park 1,Signature,Floor
38000000,Ready to move,2600,14615,4 BHK Independent Floor,Sector 41,Saryu Chadha,Not Approved,4,Outside Socity,Outside,Plot
33900000,Ready to move,2675,12710,4 BHK Apartment in Bestech Park View Altura,Sector 79,SANDEEP RADHE ASSOCIATES,Not Approved,4,Bestech Park View Altura,Bestech,Apartment
4300000,Ready to move,500,8600,2 BHK Apartment in ROF Aalayas,Sector 102,Rainbow Realty RERA-311,Not Approved,2,ROF Aalayas,ROF,Apartment
17200000,Ready to move,2064,8333,3 BHK Apartment in DLF New Town Heights 1,Sector 90,Sagar Real Estates s/c Milestone Buildspace Pvt Ltd,Not Approved,3,DLF New Town Heights 1,DLF,Apartment
7970000,Ready to move,980,8132,2 BHK Apartment in Umang Winter Hills,Sector 77,Amit,Not Approved,2,Umang W,Umang,Apartment
145600000,Under Construction,4625,31500,4 BHK Apartment in Ireo Grand Hyatt,Sector 58,Dream House,Approved,4,Ireo Grand Hyatt,Ireo,Apartment
12000000,Ready to move,1283,9353,2 BHK Apartment in Experion The Heartsong,Sector 108,ADS REALTY,Not Approved,2,Experion The Heartsong,Experion,Apartment
8500000,New,1296,6558,Residential Plot,Palam Vihar Extension,home,Not Approved,0,Outside Socity,Outside,Plot
11500000,Resale,1260,9126,Residential Plot in BPTP District 6 Block L,Sector 84,Property In Gurgaon,Not Approved,6,BPTP District 6 Block L,BPTP,Plot
22200000,Resale,1602,13888,Residential Plot in Raheja Vanya City Plots,Sector 99A,properties for sale in Gurgaon,Approved,0,Raheja Vanya City Plots,Raheja,Plot
20000000,Ready to move,1800,11111,3 BHK Independent Floor,Sector 57,Geeta Properrties,Not Approved,3,Outside Socity,Outside,Plot
5200000,Ready to move,516,10077,2 BHK Apartment in Apex Our Homes,Sector 37C,Aashiana Realtors,Not Approved,2,Apex Our Homes,Apex,Apartment
12500000,Ready to move,1430,8741,2 BHK Apartment in Vatika The Seven Lamps,Sector 82,R M reality,Not Approved,2,Vatika The Seven Lamps,Vatika,Apartment
14000000,Ready to move,1800,7777,3 BHK Independent Floor,Sector 57,Vaishno Associates,Not Approved,3,Outside Socity,Outside,Plot
13200000,New,1485,8889,Residential Plot in Faith Ireo Savannah,Sector 35 Sohna,Defence Realtors And Developers,Approved,0,Faith Ireo Savannah,Faith,Plot
22800000,Ready to move,1965,11603,3 BHK Apartment in Saan Verdante,Sector 95,Prime Associates,Not Approved,3,Saan Verdante,Saan,Apartment
24600000,Ready to move,2600,9462,4 BHK Apartment in Central Park Aqua Front Towers,Sector 33 Sohna,Prop cue,Not Approved,4,Central Park Aqua Front Towers,Central,Apartment
39000000,Ready to move,2700,14444,4 BHK Independent Floor,Sushant Lok,SHRI SAI REALTORS,Not Approved,4,Outside Socity,Outside,Plot
172100000,Ready to move,7650,22496,5 BHK Villa in Vipul Tatvam Villas,Sector 48,Dream Home Realty,Not Approved,5,Vipul Tatvam Villas,Vipul,Villa
41500000,Under Construction,4500,9222,4 BHK Independent Floor,Sector 24,Thirty Three Estates Developers,Not Approved,4,Outside Socity,Outside,Plot
95500000,Ready to move,6371,15000,5 BHK Apartment in M3M St Andrews Golf Residences,Sector 65,99 Estates Pvt Ltd,Not Approved,5,M3M St Andrews Golf Residences,M3M,Apartment
13700000,New,1575,8761,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Sachin,Approved,0,Meffier Golden Park,Meffier,Plot
13400000,Under Construction,1496,9007,3 BHK Apartment in Signature Global City 93,Sector 93,Whitehousz,Approved,3,Signature Global City 93,Signature,Apartment
18500000,Ready to move,2000,9250,3 BHK Independent Floor in Uppal Southend,Sector 49,Yasir,Not Approved,3,Uppal Southend,Uppal,Floor
286000000,Under Construction,1300,220000,2 BHK Apartment in M3M Capital,Sector 113,Vijayata Enterprises,Approved,2,M3M Capital,M3M,Apartment
43800000,Ready to move,2660,16500,3 BHK Apartment in M3M Merlin,Sector 67,GURUGRAM LANDBASE,Not Approved,3,M3M Merl,M3M,Apartment
2380000,Under Construction,600,3966,2 BHK Apartment in Ganga TATHASTU,Sector 4 Sohna,Investor's Landbase,Approved,2,Ganga TATHASTU,Ganga,Apartment
14400000,Under Construction,1528,9450,3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,home,Approved,3,M3M Antalya Hills Phase I,M3M,Apartment
27500000,Ready to move,2700,10185,4 BHK Independent Floor,Sector 57,Property In Gurgaon,Not Approved,4,Outside Socity,Outside,Plot
22500000,Ready to move,2430,9259,3 BHK Independent Floor in Ansal Versalia Phase A1,Sector 67,properties for sale in Gurgaon,Not Approved,3,Ansal Versalia Phase A1,Ansal,Floor
7000000,Ready to move,915,7650,2 BHK Apartment in Suncity Avenue 102,Sector 102,MM India Pvt Ltd,Not Approved,2,Suncity Avenue 102,Suncity,Apartment
37000000,Ready to move,2000,18500,3 BHK Apartment in Central Park Tower C,Sector 48,seller,Not Approved,3,Central Park Tower C,Central,Apartment
32500000,Ready to move,4300,7558,4 BHK Independent Floor,Sector 49,seller,Not Approved,4,Outside Socity,Outside,Plot
14000000,Ready to move,1231,11372,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,seller,Not Approved,3,Reputed Builder Sushant Lok 3,Reputed,Floor
32500000,Ready to move,3200,10156,4 BHK Independent Floor in Dhara Malibu Town Floors,Sector 47,seller,Not Approved,4,Dhara Malibu Town Floors,Dhara,Floor
20000000,Ready to move,1700,11764,3 BHK Independent Floor,Sector 57,seller,Not Approved,3,Outside Socity,Outside,Plot
27000000,Ready to move,3000,9000,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not Approved,3,Reputed Builder HUDA Colony,Reputed,Floor
25000000,Ready to move,900,27777,2 BHK Independent House in Surendra Luxury Floor 45,Sector 45,seller,Not Approved,2,Surendra Luxury Floor 45,Surendra,House
6500000,Ready to move,715,9090,2 BHK Apartment in Pyramid Urban Homes 2,Sector 86,seller,Not Approved,2,Pyramid Urban Homes 2,Pyramid,Apartment
26000000,Ready to move,2200,11818,3 BHK Independent Floor,Sector 47,seller,Not Approved,3,Outside Socity,Outside,Plot
20000000,Ready to move,2300,8695,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not Approved,3,Reputed Builder HUDA Colony,Reputed,Floor
18000000,Ready to move,1700,10588,3 BHK Independent Floor in Reputed Builder HUDA Colony,Sector 46,seller,Not Approved,3,Reputed Builder HUDA Colony,Reputed,Floor
23000000,Ready to move,2340,9829,3 BHK Independent Floor in Ansal Esencia,Sector 67,seller,Not Approved,3,Ansal Esencia,Ansal,Floor
18000000,Ready to move,900,20000,1 BHK Independent House,Sector 45,seller,Not Approved,1,Outside Socity,Outside,Plot
15000000,Ready to move,1700,8823,3 BHK Independent Floor in Vipul World Plots,Sector 48,seller,Not Approved,3,Vipul World Plots,Vipul,Floor
60200000,Ready to move,2150,28000,3 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,3,DLF Park Place,DLF,Apartment
84800000,Ready to move,3395,25000,4 BHK Apartment in Conscient Hines Elevate,Sector 59,seller,Not Approved,4,Conscient H,Conscient,Apartment
46000000,Ready to move,2095,22000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,home,Not Approved,3,Conscient H,Conscient,Apartment
76100000,Ready to move,2721,28000,4 BHK Apartment in DLF Park Place,Sector 54,Property In Gurgaon,Not Approved,4,DLF Park Place,DLF,Apartment
50400000,Ready to move,2295,22000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,properties for sale in Gurgaon,Not Approved,3,Conscient H,Conscient,Apartment
55300000,Ready to move,1975,28000,3 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,3,DLF Park Place,DLF,Apartment
52500000,Ready to move,1875,28000,3 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,3,DLF Park Place,DLF,Apartment
46900000,Ready to move,1677,28000,2 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,2,DLF Park Place,DLF,Apartment
79900000,Under Construction,3978,20110,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
57000000,Ready to move,2595,22000,3 BHK Apartment in Conscient Hines Elevate,Sector 59,seller,Not Approved,3,Conscient H,Conscient,Apartment
70000000,Under Construction,3950,17722,4 BHK Apartment in DLF The Arbour,Sector 63,seller,Approved,4,DLF The Arbour,DLF,Apartment
75700000,Ready to move,2704,28000,4 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,4,DLF Park Place,DLF,Apartment
67800000,Under Construction,2073,32706,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved,4,Anant Raj The Estate Residences,Anant,Apartment
55500000,Ready to move,1983,28000,3 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,3,DLF Park Place,DLF,Apartment
55500000,Ready to move,1985,28000,2 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,2,DLF Park Place,DLF,Apartment
71400000,Ready to move,2550,28000,4 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,4,DLF Park Place,DLF,Apartment
56000000,Ready to move,1535,36506,3 BHK Apartment in Mahindra Luminare,Sector 59,seller,Not Approved,3,Mah,Mah,Apartment
84600000,Under Construction,2586,32714,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved,4,Anant Raj The Estate Residences,Anant,Apartment
65200000,Ready to move,2329,28000,3 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,3,DLF Park Place,DLF,Apartment
74900000,Ready to move,2677,28000,4 BHK Apartment in DLF Park Place,Sector 54,seller,Not Approved,4,DLF Park Place,DLF,Apartment
66800000,Under Construction,2042,32713,4 BHK Apartment in Anant Raj The Estate Residences,Sector 63A,seller,Approved,4,Anant Raj The Estate Residences,Anant,Apartment
64300000,Under Construction,2250,28624,3 BHK Apartment in Birla Navya Avik Phase 1,Sector 63A,seller,Approved,3,Birla Navya Avik Phase 1,Birla,Apartment
20000000,Resale,900,22222,Residential Plot,Sector 52,home,Not Approved,0,Outside Socity,Outside,Plot
52500000,Resale,3312,15851,Residential Plot in Reputed Builder Plot Sector 39,Sector 39,Property In Gurgaon,Not Approved,39,Reputed Builder Plot Sector 39,Reputed,Plot
8500000,Ready to move,1079,7877,2 BHK Apartment in BPTP Spacio,Sector 37D,properties for sale in Gurgaon,Not Approved,2,BPTP Spacio,BPTP,Apartment
7500000,Ready to move,815,9202,2 BHK Apartment in Suncity Avenue 102,Sector 102,seller,Not Approved,2,Suncity Avenue 102,Suncity,Apartment
4500000,Ready to move,920,4891,3 BHK Apartment,Sector 3A,home,Not Approved,3,Outside Socity,Outside,Plot
4500000,Ready to move,920,4891,3 BHK Apartment,Sector 3A,Property In Gurgaon,Not Approved,3,Outside Socity,Outside,Plot
4500000,Ready to move,2000,2250,3 BHK Apartment,Sector 3A,properties for sale in Gurgaon,Not Approved,3,Outside Socity,Outside,Plot
5600000,Ready to move,1100,5090,3 BHK Independent Floor,Sector 69,seller,Not Approved,3,Outside Socity,Outside,Plot
4500000,Ready to move,2000,2250,3 BHK Apartment,Sector 3A,seller,Not Approved,3,Outside Socity,Outside,Plot
9231000,Under Construction,1211,7623,2 BHK Apartment in Signature Global City 79 B,Sector 79,Superb Solution Providers Pvt Ltd,Approved,2,Signature Global City 79 B,Signature,Apartment
13900000,Under Construction,2408,5784,3 BHK Apartment in Signature Global City 79 B,Sector 79,Superb Solution Providers Pvt Ltd,Approved,3,Signature Global City 79 B,Signature,Apartment
12100000,Under Construction,2035,5978,3 BHK Apartment in Signature Global City 79 B,Sector 79,Superb Solution Providers Pvt Ltd,Approved,3,Signature Global City 79 B,Signature,Apartment
11400000,Under Construction,1556,7372,3 BHK Apartment in Signature Global City 79 B,Sector 79,home,Approved,3,Signature Global City 79 B,Signature,Apartment
9786000,Under Construction,1566,6249,2 BHK Apartment in Signature Global City 79 B,Sector 79,Property In Gurgaon,Approved,2,Signature Global City 79 B,Signature,Apartment
13100000,Under Construction,1831,7170,3 BHK Apartment in Signature Global City 79 B,Sector 79,properties for sale in Gurgaon,Approved,3,Signature Global City 79 B,Signature,Apartment
80100000,Under Construction,3956,20252,4 BHK Apartment in DLF The Arbour,Sector 63,Sharma realtors solution,Approved,4,DLF The Arbour,DLF,Apartment
79900000,Under Construction,3950,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Sharma realtors solution,Approved,4,DLF The Arbour,DLF,Apartment
76900000,Under Construction,3800,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Sharma realtors solution,Approved,4,DLF The Arbour,DLF,Apartment
76900000,Under Construction,3800,20253,4 BHK Apartment in DLF The Arbour,Sector 63,SM Realty,Approved,4,DLF The Arbour,DLF,Apartment
17500000,Ready to move,1405,12500,2 BHK Apartment in Godrej Air Phase I,Sector 85,SM Realty,Not Approved,2,Godrej Air Phase I,Godrej,Apartment
19500000,Ready to move,1930,10103,3 BHK Apartment in DLF The Skycourt,Sector 86,SM Realty,Not Approved,3,DLF The Skycourt,DLF,Apartment
15900000,Ready to move,1890,8412,3 BHK Apartment in SS The Coralwood,Sector 84,SM Realty,Not Approved,3,SS The Coralwood,SS,Apartment
16500000,Ready to move,1890,8730,3 BHK Apartment in SS The Coralwood,Sector 84,Impex Estates India Private Limited,Not Approved,3,SS The Coralwood,SS,Apartment
25000000,Ready to move,2475,10101,4 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Impex Estates India Private Limited,Not Approved,4,Bestech Park View Sanskruti,Bestech,Apartment
39500000,Under Construction,3051,12946,3 BHK Apartment in Ganga Nandaka,Sector 84,Impex Estates India Private Limited,Approved,3,Ganga Nandaka,Ganga,Apartment
12700000,Under Construction,1075,11813,2 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,Impex Estates India Private Limited,Approved,2,Signature Global City 81 Phase 2,Signature,Apartment
14000000,Under Construction,1190,11813,3 BHK Apartment in Signature Global City 81 Phase 2,Sector 81,Impex Estates India Private Limited,Approved,3,Signature Global City 81 Phase 2,Signature,Apartment
19500000,Ready to move,3800,5131,3 BHK Apartment in Central Park Flower Valley,Sector 33 Sohna,Impex Estates India Private Limited,Not Approved,3,Central Park Flower Valley,Central,Apartment
6000000,Ready to move,900,6666,3 BHK Apartment in GLS Avenue 51,Sector 92,Corvous India Infratech Pvt Ltd,Not Approved,3,GLS Avenue 51,GLS,Apartment
19500000,Ready to move,1550,12580,2 BHK Apartment in Puri Emerald Bay,Sector 104,Corvous India Infratech Pvt Ltd,Not Approved,2,Puri Emerald Bay,Puri,Apartment
11000000,Under Construction,1190,9243,2 BHK Apartment in Signature Global City 92 2,Sector 92,Urbankasa,Approved,2,Signature Global City 92 2,Signature,Apartment
9900000,Ready to move,1366,7247,2 BHK Apartment in M3M Woodshire,Sector 107,Yoga reality,Not Approved,2,M3M Woodshire,M3M,Apartment
11500000,Ready to move,1470,7823,3 BHK Apartment in BPTP Park Generation,Sector 37D,home,Not Approved,3,BPTP Park Generation,BPTP,Apartment
43000000,Ready to move,2720,15808,4 BHK Apartment in Godrej Meridien,Sector 106,Property In Gurgaon,Not Approved,4,Godrej Meridien,Godrej,Apartment
19000000,Ready to move,2361,8047,3 BHK Apartment in M3M Woodshire,Sector 107,properties for sale in Gurgaon,Not Approved,3,M3M Woodshire,M3M,Apartment
49000000,Ready to move,6300,7777,4 BHK Independent Floor in Ansal Esencia,Sector 67,Sagar,Not Approved,4,Ansal Esencia,Ansal,Floor
35000000,Ready to move,1350,25925,3 BHK Villa in Eros Rosewood Villas,Sector 49,Bhoomi Realtors,Not Approved,3,Eros Rosewood Villas,Eros,Villa
120000000,Ready to move,6500,18461,5 BHK Villa in Tata Raisina Residency,Sector 59,Bhoomi Realtors,Not Approved,5,Tata Rais,Tata,Villa
22500000,Ready to move,2660,8458,3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Nayra Realtors,Not Approved,3,Bestech Park View Grand Spa,Bestech,Apartment
